date_time,lat,long,depth,magnitude,location 1,location 2,date_time_formatted,date,time,date_f
31 January 2021 - 10:50 PM,14.75,121.91,24,1.9,Polillo ,Quezon,2021-01-31T10:50:00,2021-01-31,10:50:00,2021-01-31
31 January 2021 - 01:14 PM,13.47,120.32,2,2.0,Looc ,Occidental Mindoro,2021-01-31T01:14:00,2021-01-31,01:14:00,2021-01-31
31 January 2021 - 11:55 AM,5.99,124.94,13,2.0,Maasim ,Sarangani,2021-01-31T11:55:00,2021-01-31,11:55:00,2021-01-31
31 January 2021 - 09:01 AM,13.36,120.2,9,1.9,Paluan ,Occidental Mindoro,2021-01-31T09:01:00,2021-01-31,09:01:00,2021-01-31
31 July 2021 - 11:27 AM,13.68,120.73,122,2.0,Calatagan ,Batangas,2021-07-31T11:27:00,2021-07-31,11:27:00,2021-07-31
31 July 2021 - 09:31 AM,13.68,120.64,97,1.8,Calatagan ,Batangas,2021-07-31T09:31:00,2021-07-31,09:31:00,2021-07-31
30 April 2021 - 08:02 PM,7.0,125.08,24,1.9,Makilala ,Cotabato,2021-04-30T08:02:00,2021-04-30,08:02:00,2021-04-30
30 April 2021 - 01:41 PM,18.35,121.17,43,2.0,Luna ,Apayao,2021-04-30T01:41:00,2021-04-30,01:41:00,2021-04-30
30 April 2021 - 12:08 PM,16.12,120.85,12,1.7,Santa Fe ,Nueva Vizcaya,2021-04-30T12:08:00,2021-04-30,12:08:00,2021-04-30
30 April 2021 - 06:34 AM,10.14,126.12,33,2.0,Burgos ,Surigao Del Norte,2021-04-30T06:34:00,2021-04-30,06:34:00,2021-04-30
31 October 2021 - 11:48 PM,16.88,119.93,32,1.7,Bacnotan ,La Union,2021-10-31T11:48:00,2021-10-31,11:48:00,2021-10-31
31 August 2021 - 11:56 PM,13.7,120.66,88,1.6,Calatagan ,Batangas,2021-08-31T11:56:00,2021-08-31,11:56:00,2021-08-31
31 July 2021 - 08:25 AM,13.58,120.76,9,1.9,Abra De Ilog ,Occidental Mindoro,2021-07-31T08:25:00,2021-07-31,08:25:00,2021-07-31
31 July 2021 - 07:08 AM,13.84,120.57,94,2.0,Calatagan ,Batangas,2021-07-31T07:08:00,2021-07-31,07:08:00,2021-07-31
31 July 2021 - 06:35 AM,13.78,120.61,99,1.6,Calatagan ,Batangas,2021-07-31T06:35:00,2021-07-31,06:35:00,2021-07-31
31 July 2021 - 03:51 AM,7.87,126.24,20,2.0,Boston ,Davao Oriental,2021-07-31T03:51:00,2021-07-31,03:51:00,2021-07-31
31 July 2021 - 02:43 AM,13.69,120.67,92,2.0,Calatagan ,Batangas,2021-07-31T02:43:00,2021-07-31,02:43:00,2021-07-31
31 July 2021 - 02:07 AM,10.05,126.09,33,1.7,Burgos ,Surigao Del Norte,2021-07-31T02:07:00,2021-07-31,02:07:00,2021-07-31
