date_time,lat,long,depth,magnitude,location 1,location 2,date_time_formatted,date,time,date_f
31 January 2022 - 06:02 AM,5.93,126.47,81,3.6,Governor Generoso ,Davao Oriental,2022-01-31T06:02:00,2022-01-31,06:02:00,2022-01-31
31 January 2022 - 05:02 AM,10.44,125.89,18,3.8,Loreto ,Dinagat Islands,2022-01-31T05:02:00,2022-01-31,05:02:00,2022-01-31
30 January 2022 - 10:45 PM,7.68,124.82,1,3.7,Kadingilan ,Bukidnon,2022-01-30T10:45:00,2022-01-30,10:45:00,2022-01-30
30 January 2022 - 05:58 PM,3.81,125.71,33,3.6,Balut Island ,Municipality Of Sarangani ,2022-01-30T05:58:00,2022-01-30,05:58:00,2022-01-30
30 January 2022 - 09:35 AM,15.4,118.35,17,3.5,Bajo De Masinloc ,Masinloc ,2022-01-30T09:35:00,2022-01-30,09:35:00,2022-01-30
30 January 2022 - 09:05 AM,2.96,126.49,157,4.1,Balut Island ,Municipality Of Sarangani ,2022-01-30T09:05:00,2022-01-30,09:05:00,2022-01-30
30 January 2022 - 08:38 AM,15.51,118.45,15,3.6,Bajo De Masinloc ,Masinloc ,2022-01-30T08:38:00,2022-01-30,08:38:00,2022-01-30
29 January 2022 - 10:36 PM,3.45,126.2,16,4.0,Balut Island ,Municipality Of Sarangani ,2022-01-29T10:36:00,2022-01-29,10:36:00,2022-01-29
28 January 2022 - 10:29 PM,2.65,125.53,97,4.4,Balut Island ,Municipality Of Sarangani ,2022-01-28T10:29:00,2022-01-28,10:29:00,2022-01-28
28 January 2022 - 12:56 PM,6.09,126.81,14,4.7,Governor Generoso ,Davao Oriental,2022-01-28T12:56:00,2022-01-28,12:56:00,2022-01-28
28 January 2022 - 05:44 AM,11.29,124.56,8,4.3,Capoocan ,Leyte,2022-01-28T05:44:00,2022-01-28,05:44:00,2022-01-28
28 January 2022 - 04:16 AM,5.32,126.64,13,3.8,Jose Abad Santos ,Davao Occidental,2022-01-28T04:16:00,2022-01-28,04:16:00,2022-01-28
27 January 2022 - 02:11 AM,3.87,126.46,119,4.4,Balut Island ,Municipality Of Sarangani ,2022-01-27T02:11:00,2022-01-27,02:11:00,2022-01-27
26 January 2022 - 11:59 PM,5.14,126.34,23,4.4,Sarangani Island ,Municipality Of Sarangani ,2022-01-26T11:59:00,2022-01-26,11:59:00,2022-01-26
31 May 2022 - 03:29 AM,5.6,126.33,102,3.7,Jose Abad Santos ,Davao Occidental,2022-05-31T03:29:00,2022-05-31,03:29:00,2022-05-31
26 January 2022 - 08:36 PM,13.95,120.4,55,3.8,Calatagan ,Batangas,2022-01-26T08:36:00,2022-01-26,08:36:00,2022-01-26
26 January 2022 - 05:52 PM,4.59,128.22,47,4.9,Jose Abad Santos ,Davao Occidental,2022-01-26T05:52:00,2022-01-26,05:52:00,2022-01-26
26 January 2022 - 07:59 AM,4.94,126.53,62,4.5,Sarangani Island ,Municipality Of Sarangani ,2022-01-26T07:59:00,2022-01-26,07:59:00,2022-01-26
30 May 2022 - 05:13 AM,3.37,126.65,42,4.5,Balut Island ,Municipality Of Sarangani ,2022-05-30T05:13:00,2022-05-30,05:13:00,2022-05-30
30 May 2022 - 04:59 AM,9.6,123.06,8,4.0,City Of Tanjay ,Negros Oriental,2022-05-30T04:59:00,2022-05-30,04:59:00,2022-05-30
30 May 2022 - 04:29 AM,13.68,120.63,165,4.5,Calatagan ,Batangas,2022-05-30T04:29:00,2022-05-30,04:29:00,2022-05-30
29 May 2022 - 08:03 PM,21.71,120.92,58,3.8,Itbayat ,Batanes,2022-05-29T08:03:00,2022-05-29,08:03:00,2022-05-29
29 May 2022 - 07:18 PM,6.06,125.91,73,3.5,Jose Abad Santos ,Davao Occidental,2022-05-29T07:18:00,2022-05-29,07:18:00,2022-05-29
25 January 2022 - 09:56 AM,7.85,126.56,17,3.7,Cateel ,Davao Oriental,2022-01-25T09:56:00,2022-01-25,09:56:00,2022-01-25
25 January 2022 - 03:23 AM,3.21,126.78,33,4.3,Balut Island ,Municipality Of Sarangani ,2022-01-25T03:23:00,2022-01-25,03:23:00,2022-01-25
27 February 2022 - 04:49 AM,10.09,125.75,14,3.7,Cagdianao ,Dinagat Islands,2022-02-27T04:49:00,2022-02-27,04:49:00,2022-02-27
29 May 2022 - 03:46 PM,7.65,126.56,31,3.6,Baganga ,Davao Oriental,2022-05-29T03:46:00,2022-05-29,03:46:00,2022-05-29
26 February 2022 - 11:48 PM,13.15,124.16,9,3.6,Prieto Diaz ,Sorsogon,2022-02-26T11:48:00,2022-02-26,11:48:00,2022-02-26
26 February 2022 - 06:44 AM,5.86,126.57,67,3.5,Jose Abad Santos ,Davao Occidental,2022-02-26T06:44:00,2022-02-26,06:44:00,2022-02-26
29 May 2022 - 01:41 AM,5.16,127.01,100,3.6,Jose Abad Santos ,Davao Occidental,2022-05-29T01:41:00,2022-05-29,01:41:00,2022-05-29
31 July 2022 - 11:00 PM,18.2,119.54,1,3.7,Currimao ,Ilocos Norte,2022-07-31T11:00:00,2022-07-31,11:00:00,2022-07-31
31 July 2022 - 09:45 PM,17.73,120.64,12,4.1,Tayum ,Abra,2022-07-31T09:45:00,2022-07-31,09:45:00,2022-07-31
25 February 2022 - 12:39 PM,5.88,126.57,11,4.4,Jose Abad Santos ,Davao Occidental,2022-02-25T12:39:00,2022-02-25,12:39:00,2022-02-25
25 February 2022 - 12:00 PM,13.71,120.52,85,3.5,Calatagan ,Batangas,2022-02-25T12:00:00,2022-02-25,12:00:00,2022-02-25
25 February 2022 - 06:19 AM,5.92,126.61,49,4.7,Governor Generoso ,Davao Oriental,2022-02-25T06:19:00,2022-02-25,06:19:00,2022-02-25
28 May 2022 - 11:16 AM,5.37,127.02,33,3.9,Jose Abad Santos ,Davao Occidental,2022-05-28T11:16:00,2022-05-28,11:16:00,2022-05-28
28 May 2022 - 07:08 AM,13.2,124.84,17,4.1,Pambujan ,Northern Samar,2022-05-28T07:08:00,2022-05-28,07:08:00,2022-05-28
23 January 2022 - 06:13 PM,3.34,126.4,15,4.0,Balut Island ,Municipality Of Sarangani ,2022-01-23T06:13:00,2022-01-23,06:13:00,2022-01-23
25 February 2022 - 05:51 AM,5.87,124.73,19,3.5,Maasim ,Sarangani,2022-02-25T05:51:00,2022-02-25,05:51:00,2022-02-25
24 February 2022 - 11:38 PM,3.41,128.29,102,3.8,Sarangani Island ,Municipality Of Sarangani ,2022-02-24T11:38:00,2022-02-24,11:38:00,2022-02-24
28 May 2022 - 12:43 AM,11.25,126.21,13,3.5,Guiuan ,Eastern Samar,2022-05-28T12:43:00,2022-05-28,12:43:00,2022-05-28
31 July 2022 - 07:27 PM,17.45,120.53,4,4.7,San Isidro ,Abra,2022-07-31T07:27:00,2022-07-31,07:27:00,2022-07-31
23 January 2022 - 02:41 PM,20.06,120.85,14,3.8,Sabtang ,Batanes,2022-01-23T02:41:00,2022-01-23,02:41:00,2022-01-23
23 January 2022 - 02:15 PM,6.97,127.27,13,4.9,Manay ,Davao Oriental,2022-01-23T02:15:00,2022-01-23,02:15:00,2022-01-23
23 January 2022 - 01:11 PM,6.84,127.58,8,3.9,Manay ,Davao Oriental,2022-01-23T01:11:00,2022-01-23,01:11:00,2022-01-23
23 January 2022 - 11:23 AM,5.7,126.62,43,3.6,Jose Abad Santos ,Davao Occidental,2022-01-23T11:23:00,2022-01-23,11:23:00,2022-01-23
23 January 2022 - 09:12 AM,3.24,126.63,55,4.3,Balut Island ,Municipality Of Sarangani ,2022-01-23T09:12:00,2022-01-23,09:12:00,2022-01-23
23 January 2022 - 06:07 AM,13.67,120.56,112,4.9,Calatagan ,Batangas,2022-01-23T06:07:00,2022-01-23,06:07:00,2022-01-23
23 January 2022 - 05:12 AM,3.26,126.64,26,4.1,Balut Island ,Municipality Of Sarangani ,2022-01-23T05:12:00,2022-01-23,05:12:00,2022-01-23
23 January 2022 - 04:43 AM,14.2,120.54,203,3.5,Nasugbu ,Batangas,2022-01-23T04:43:00,2022-01-23,04:43:00,2022-01-23
24 February 2022 - 04:14 PM,17.27,119.89,21,3.7,Santiago ,Ilocos Sur,2022-02-24T04:14:00,2022-02-24,04:14:00,2022-02-24
24 February 2022 - 11:34 AM,6.34,126.51,5,3.7,Governor Generoso ,Davao Oriental,2022-02-24T11:34:00,2022-02-24,11:34:00,2022-02-24
24 February 2022 - 11:29 AM,3.53,125.84,104,3.8,Balut Island ,Municipality Of Sarangani ,2022-02-24T11:29:00,2022-02-24,11:29:00,2022-02-24
24 February 2022 - 06:52 AM,5.8,127.31,64,4.0,Governor Generoso ,Davao Oriental,2022-02-24T06:52:00,2022-02-24,06:52:00,2022-02-24
27 May 2022 - 04:55 PM,10.33,126.74,19,3.5,Burgos ,Surigao Del Norte,2022-05-27T04:55:00,2022-05-27,04:55:00,2022-05-27
26 May 2022 - 07:53 AM,10.36,126.9,10,3.6,Burgos ,Surigao Del Norte,2022-05-26T07:53:00,2022-05-26,07:53:00,2022-05-26
31 July 2022 - 01:49 PM,17.82,120.76,2,4.9,Lagayan ,Abra,2022-07-31T01:49:00,2022-07-31,01:49:00,2022-07-31
27 May 2022 - 06:27 AM,19.02,120.94,2,3.7,Dalupiri Island ,Calayan ,2022-05-27T06:27:00,2022-05-27,06:27:00,2022-05-27
27 May 2022 - 04:49 AM,5.11,126.78,157,4.1,Governor Generoso ,Davao Oriental,2022-05-27T04:49:00,2022-05-27,04:49:00,2022-05-27
22 January 2022 - 09:49 PM,2.43,126.91,72,4.9,Balut Island ,Municipality Of Sarangani ,2022-01-22T09:49:00,2022-01-22,09:49:00,2022-01-22
